"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Unique CTR (link click-through rate)","Results rate per link clicks","Cost per results","Ad set budget","Ad set budget type","Amount spent (BRL)",Impressions,Reach,"Total messaging contacts","New messaging contacts",Purchases,Ends,"Attribution setting","Cost per purchase (BRL)","Results (initial)","Results (initial) indicator"
2026-08-01,2026-08-31,15-CADASTROS-BLINDADOS-AGX,inactive,,,0,,,32,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"17-Venda Direta-VIEWS-VIDEO",inactive,,,0,,,"Using ad set budget",0,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,18-CONVERSAO-CADASTRO-AGX,inactive,,,0,,,"Using ad set budget",0,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"[AGX-COPART] [Venda Direta] [TOPO] [CADASTRO]",inactive,,,0,,,"Using ad set budget",0,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"⭐03.10 - [GMZ.MOKE] | [CONTÍNUO] | [FB+IG] | [AUTO] | CONV | Venda Direta | LP INSTITUCIONAL | 23/05/24 % - SEM DATA",inactive,,,0,,,128.53,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"⭐ 03.10 - [GMZ.MOKE] | [CONTÍNUO] | [FB+IG] | [AUTO] | CONV | LEILÃO | LP INSTITUCIONAL | 23/05/24 - SEM DATA",inactive,,,0,,,68.8,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"[ATIVAR] 03.10 - [GMZ.MOKE] | [CONTÍNUO] | [FB+IG] | [AUTO] | CONV | COMPRE AGORA | LP INSTITUCIONAL | 14/05/ 24 % - SEM DATA",inactive,,,0,,,24.77,Daily,0,0,0,,,,1969-12-31,-,,,
2026-08-01,2026-08-31,"[ATIVAR] 04.10 - [GMZ.MOKE] | [CONTÍNUO] | [FB+IG] | [AUTO] | RMKT | Venda Direta | LP INSTITUCIONAL | 14/05/24 % - SEM DATA",inactive,,,0,,,8.77,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"[ATIVAR] 04.10 - [GMZ.MOKE] | [CONTÍNUO] | [FB+IG] | [AUTO] | RMKT | LEILÃO | LP INSTITUCIONAL | 14/05/24 - SEM DATA",inactive,,,0,,,8.52,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"[ATIVAR] 04.10 - [GMZ.MOKE] | [CONTÍNUO] | [FB+IG] | [AUTO] | RMKT | COMPRE AGORA | DESTINO A DEFINIR | 14/05/ 24 % - SEM DATA",inactive,,,0,,,8.52,Daily,0,0,0,,,,1969-12-31,-,,,
2026-08-01,2026-08-31,"[ATIVAR] 02.02 - [GMZ.MOKE] | [CONTÍNUO] | [FB+IG] | [AUTO] | TRÁF | Venda Direta | BLOG | 14/05/24 % - SEM DATA",inactive,,,0,,,12.9,Daily,0,0,0,,,,1969-12-31,-,,,
2026-08-01,2026-08-31,"[ATIVAR] 02.02 - [GMZ.MOKE] | [CONTÍNUO] | [FB+IG] | [AUTO] | TRÁF | COMPRE AGORA | BLOG | 14/05/ 24 % - SEM DATA — Cópia",inactive,,,0,,,12.9,Daily,0,0,0,,,,1969-12-31,-,,,
2026-08-01,2026-08-31,"[ATIVAR] 02.02 - [GMZ.MOKE] | [CONTÍNUO] | [FB+IG] | [AUTO] | TRÁF | INSTITUCIONAL | BLOG | 14/05/24 - SEM DATA — Cópia",inactive,,,0,,,12.9,Daily,0,0,0,,,,1969-12-31,-,,,
2026-08-01,2026-08-31,"[ATIVAR] 02.02 - [GMZ.MOKE] | [CONTÍNUO] | [FB+IG] | [AUTO] | TRÁF | LEILÃO | BLOG | 14/05/24 - SEM DATA — Cópia",inactive,,,0,,,12.9,Daily,0,0,0,,,,1969-12-31,-,,,
2026-08-01,2026-08-31,"03.10 - [GMZ.MOKE] | [CONTÍNUO] | [FB+IG] | [AUTO] | CONV | Venda Direta | LP INSTITUCIONAL | 07/06/24 % - SEM DATA",inactive,,,0,,,88.68,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
